"","SiteID","PithouseID","PithouseOriginalID","Phase","SimplifiedPhase","Reference"
"180","10273","10273-027","114","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"181","10273","10273-028","115","Nakabyo",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"182","10273","10273-029","132","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"183","10273","10273-030","133","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"184","10273","10273-031","134","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"185","10273","10273-032","135","Kasori EIV","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"186","10273","10273-033","137","Kasori EIV","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"187","10273","10273-034","147","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"188","10273","10273-035","149","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"189","10273","10273-036","152","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"190","10273","10273-037","153","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"191","10273","10273-038","154","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"192","10273","10273-039","155","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"193","10273","10273-040","171","Kasori E",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"194","10308","10308-001",NA,"Kasori EIII","Kasori E (late)","千葉市文化財調査協会年俸　10"
"195","10308","10308-002",NA,"Kasori EIII","Kasori E (late)","千葉市文化財調査協会年俸　10"
"196","10308","10308-003",NA,"Kasori EIII","Kasori E (late)","千葉市文化財調査協会年俸　10"
"197","10308","10308-004",NA,"Kasori EIII","Kasori E (late)","千葉市文化財調査協会年俸　10"
"198","10315","10315-001",NA,"Middle Jomon",NA,"千葉市文化財調査協会年俸　10"
"199","10344","10344-001","1","Kasori EIV","Kasori E (late)","千葉市中野僧御堂遺跡　千葉県文化財センター　1976"
"200","10344","10344-002","2","Kasori EIV","Kasori E (late)","千葉市中野僧御堂遺跡　千葉県文化財センター　1976"
"201","10344","10344-003","3","Kasori EIV","Kasori E (late)","千葉市中野僧御堂遺跡　千葉県文化財センター　1976"
"202","10344","10344-004","4","Kasori EIV","Kasori E (late)","千葉市中野僧御堂遺跡　千葉県文化財センター　1976"
