"","SiteID","PithouseID","PithouseOriginalID","Phase","SimplifiedPhase","Reference"
"1390","9981","9981-011","21","Otamadai III","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1391","9981","9981-012","24","Otamadai III","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1392","9981","9981-013","25","Otamadai III - IV","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1393","9981","9981-014","26","Otamadai III","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1394","9981","9981-015","29","Otamadai III","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1395","9981","9981-016","34","Otamadai III - IV","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1396","9981","9981-017","44","Otamadai III - IV","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1397","9981","9981-018","45","Jomon",NA,"蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1398","9981","9981-019","47","Otamadai III - IV","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1399","9981","9981-020","49","Otamadai III","Otamadai-Katsuzaka","蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1400","9981","9981-021","50","Jomon",NA,"蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1401","9981","9981-022","52","Jomon",NA,"蕨立遺跡を中心にした縄文時代中期初頭集落跡の研究　遺跡研究論集　II 1982"
"1402","9987","9987-001","1","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1403","9987","9987-002","3","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1404","9987","9987-003","146","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1405","9987","9987-004","22","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1406","9987","9987-005","102","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1407","9987","9987-006","119","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1408","9987","9987-007","159","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1409","9987","9987-008","143","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1410","9987","9987-009","171","Otamadai III - Kasori EI",NA,"千葉市城の腰遺跡　千葉県文化財センター　１９７９"
"1411","9988","9988-001",NA,"Horinouchi","Horinouchi","千葉市文化財調査協会年俸　2"
"1412","9988","9988-002",NA,"Jomon",NA,"千葉市文化財調査協会年俸　2"
"1413","4402","4402-003","6","Horinouchi","Horinouchi","西御門新堤遺跡　印旛都市文化財センター　２００７"
"1414","4402","4402-005","8","Horinouchi","Horinouchi","西御門新堤遺跡　印旛都市文化財センター　２００７"
"1415","4402","4402-006","9","Horinouchi","Horinouchi","西御門新堤遺跡　印旛都市文化財センター　２００７"
"1416","4402","4402-007","17","Horinouchi","Horinouchi","西御門新堤遺跡　印旛都市文化財センター　２００７"
"1417","4402","4402-008","41","Kasori EIV","Kasori E (late)","西御門新堤遺跡　印旛都市文化財センター　２００７"
"1418","4402","4402-009","42","Horinouchi","Horinouchi","西御門新堤遺跡　印旛都市文化財センター　２００７"
