"YearBCE","Sites","SPD"
-5284,21,0.1092560193
-5283,21,0.1093176354
-5282,21,0.1093623213
-5281,21,0.1093903226
-5280,21,0.1094008834
-5279,21,0.1093953142
-5278,21,0.1093751945
-5277,21,0.1093428794
-5276,21,0.1093010784
-5275,21,0.1092522592
-5274,21,0.1091986376
-5273,21,0.1091435086
-5272,21,0.1090900417
-5271,21,0.1090417099
-5270,21,0.1089997292
-5269,21,0.1089647552
-5268,21,0.1089374179
-5267,21,0.1089183164
-5266,21,0.1089080142
-5265,21,0.1089045607
-5264,21,0.108908217
-5263,21,0.108919227
-5262,21,0.1089378164
-5261,21,0.1089641919
-5260,21,0.1089950605
-5259,21,0.1090301323
-5258,21,0.1090691035
-5257,21,0.1091116589
-5256,21,0.1091574736
-5255,21,0.1091964584
-5254,21,0.1092275052
-5253,21,0.1092494286
-5252,21,0.1092615166
-5251,21,0.1092629704
-5250,21,0.1092471154
-5249,21,0.1092130672
-5248,21,0.1091601192
-5247,21,0.1090877693
-5246,21,0.1089957441
-5245,21,0.1088712281
-5244,21,0.1087161141
-5243,21,0.1085335013
-5242,21,0.1083276117
-5241,21,0.1081039888
-5240,21,0.1078715438
-5239,21,0.1076376036
-5238,21,0.1074095723
-5237,21,0.107193502
-5236,21,0.1069942846
-5235,21,0.1068145958
-5234,21,0.106655766
-5233,21,0.106517275
-5232,21,0.10639796
-5231,21,0.1062942239
-5230,21,0.1061957233
-5229,21,0.1061011534
-5228,21,0.106008675
-5227,21,0.1059165533
-5226,21,0.1058228529
-5225,21,0.1057277619
-5224,21,0.1056305715
-5223,21,0.105530367
-5222,21,0.1054260484
-5221,21,0.1053169594
-5220,21,0.1052017578
-5219,21,0.1050800382
-5218,21,0.1049514144
-5217,21,0.1048155227
-5216,21,0.1046718345
-5215,21,0.104524623
-5214,21,0.1043738899
-5213,21,0.104219442
-5212,21,0.1040614915
-5211,21,0.1039000474
-5210,21,0.1037449317
-5209,21,0.1035960831
-5208,21,0.1034538178
-5207,21,0.1033180403
-5206,21,0.1031888306
-5205,21,0.1030762477
-5204,21,0.1029798032
-5203,21,0.1028991328
-5202,21,0.1028329127
-5201,21,0.1027799812
-5200,21,0.1027382989
-5199,21,0.1027087536
-5198,21,0.1026922982
-5197,21,0.1026892817
-5196,21,0.1027002607
-5195,21,0.1027387386
-5194,21,0.1028026288
-5193,21,0.102888653
-5192,21,0.1029924256
-5191,21,0.1031080595
-5190,21,0.1032302198
-5189,21,0.1033515054
-5188,21,0.1034644543
-5187,21,0.1035629729
-5186,21,0.1036419426
-5185,21,0.103702667
-5184,21,0.1037438032
-5183,21,0.1037658577
-5182,21,0.1037699791
-5181,21,0.1037597488
-5180,21,0.1037446369
-5179,21,0.1037259609
-5178,21,0.1037055726
-5177,21,0.1036852187
-5176,21,0.1036668464
-5175,21,0.1036499849
-5174,21,0.1036353586
-5173,21,0.1036238954
-5172,21,0.1036167068
-5171,21,0.1036144581
-5170,21,0.1036132754
-5169,21,0.103613517
-5168,21,0.1036155319
-5167,21,0.1036196564
-5166,21,0.1036260153
-5165,21,0.1036388115
-5164,21,0.1036574973
-5163,21,0.1036820883
-5162,21,0.1037121786
